id,slug,name,state,region,tagline,overview,why_visit,type,styles,budget,budget_label,duration_days,best_season,seasons,difficulty,crowd,cover,gallery,things_to_do,photo_spots,food,cafes,nearby,alternative_to,latitude,longitude
01abfbec-3734-4740-912e-cdc69809fe56,chopta,Chopta,Uttarakhand,Northern India,"Experience the serene 'Mini Switzerland' of Uttarakhand, a pristine Himalayan hamlet and gateway to the highest Shiva temple at Tungnath, offering unparalleled views and spiritual solace.","Nestled in the Garhwal Himalayas of Uttarakhand at an altitude of approximately 2,680 meters (8,790 ft), Chopta is a picturesque hamlet renowned for its breathtaking alpine meadows (bugyals), dense rhododendron and deodar forests, and as a vital base for the sacred Tungnath Temple trek. Geographically, it sits amidst the Kedarnath Wildlife Sanctuary, contributing to its rich biodiversity, including rare Himalayan flora and fauna like the elusive musk deer and the vibrant Himalayan Monal pheasant.
Historically, the region is deeply intertwined with the Panch Kedar pilgrimage circuit, with Tungnath being the third of the five Shiva temples. The local experience is characterized by a tranquil escape from urban bustle, offering opportunities for spiritual introspection, meditation amidst nature's grandeur, and immersive trekking adventures. While not heavily populated, the nearby villages reflect the simple, resilient culture of the Garhwali people, often involved in agriculture and pilgrimage-related services, making it a culturally rich yet peaceful retreat.","[""Tungnath Temple: Trek to the highest Shiva temple in the world, an ancient shrine steeped in mythology and part of the revered Panch Kedar circuit."",""Chandrashila Peak: Summit this iconic peak for a breathtaking 360-degree panoramic view of prominent Himalayan ranges, including Nanda Devi, Trishul, Chaukhamba, Kedarnath, and Banderpoonch."",""Deoria Tal: Visit this pristine high-altitude lake, famed for its mesmerizing reflection of the Chaukhamba peaks, accessible via a scenic trek from Sari village."",""Kedarnath Wildlife Sanctuary: Explore this biodiverse sanctuary, a significant habitat for unique Himalayan wildlife like the endangered musk deer and various pheasant species, including the vibrant Himalayan Monal."",""Rhododendron Forests: Witness the spectacular bloom of vibrant red and pink rhododendrons during spring, transforming the trekking paths into a colorful spectacle.""]",Trek,"['Adventure', 'Wildlife', 'Spiritual', 'Meditation', 'Temple Visit', 'Heritage Walk', 'Photography']",8100,₹8k–₹12k,3,Summer – Spring,"['Summer', 'Spring']",Moderate,Quiet,https://upload.wikimedia.org/wikipedia/commons/3/3f/Chopta%2C_starting_point_for_treks_to_Tungnath_and_Chandrashila.jpg,"['https://upload.wikimedia.org/wikipedia/commons/3/3f/Chopta%2C_starting_point_for_treks_to_Tungnath_and_Chandrashila.jpg', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Trek to Tungnath and Chandrashila: Embark on the iconic trek through alpine meadows and dense forests to the sacred Tungnath temple, continuing to Chandrashila summit for unforgettable sunrise views.', 'Bird Watching in Kedarnath Wildlife Sanctuary: Explore the diverse avian life, specifically seeking out the vibrant Himalayan Monal, Kalij Pheasant, and other high-altitude species in their natural habitat.', 'Camping under the Stars: Experience the serene Himalayan night sky with minimal light pollution, offering spectacular stargazing and an opportunity for peaceful overnight stays.', 'Meditation and Yoga amidst Nature: Find spiritual solace and practice yoga or meditation amidst the tranquil and pristine natural surroundings of the vast alpine meadows.']","['Chandrashila Summit: For unobstructed panoramic views of the entire Garhwal Himalayan range, especially stunning at sunrise or sunset.', 'Deoria Tal Lakeside: Capture the perfect reflection of the Chaukhamba peaks in the clear waters of the lake, particularly at dawn or dusk.', 'The path to Tungnath through the Rhododendron Forests: Photograph the vibrant blooms and dense foliage along the trekking route, especially during the spring season.']","['Siddu', 'Pahadi Madra', 'Local Thali']","['Chopta Pahadi Rasoi Local Kitchen', 'Chopta Hilltop Cafe & Bistro']",[],Manali,30.18019,79.36768
0214bb96-f1f4-40e1-b037-4071544c95fe,divar-island,Divar Island,Goa,Western India,"Experience the serene and tranquil beauty of Divar Island, a hidden gem in the heart of Goa","Divar Island, situated in the Mandovi River, is a tranquil and picturesque island that offers a serene escape from the hustle and bustle of city life. The island has a rich history, with evidence of human habitation dating back to the pre-Portuguese era. With its lush green forests, picturesque villages, and beautiful beaches, Divar Island is a nature lover's paradise. Visitors can explore the island's scenic landscapes, visit ancient temples and churches, and indulge in a variety of water sports and activities. The island's unique cultural heritage, which is a blend of Hindu and Christian traditions, is reflected in its vibrant festivals and customs.","[""Explore the historic Our Lady of Piedade Church, a stunning example of Portuguese architecture"",""Visit the ancient temple of Saptakoteshwar, a revered Hindu shrine dedicated to Lord Shiva"",""Relax on the pristine beaches of Divar Island, such as the popular Divar Beach and the secluded Siridao Beach"",""Take a ferry ride across the Mandovi River to experience the island's breathtaking scenery""]",Island,"['Nature', 'Beach', 'Swimming', 'Sunbathing', 'Beach Walks', 'Boat Ride']",8100,₹8k–₹12k,3,Winter – Spring,"['Winter', 'Spring']",Easy,Quiet,https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop,"['https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","[""Go on a scenic bike ride or hike to explore the island's picturesque villages and forests"", ""Try your hand at fishing or crab catching in the island's waters"", 'Take a boat ride to spot dolphins and other marine life in the Mandovi River', ""Attend a traditional Goan festival or celebration to experience the island's vibrant culture""]","['The picturesque village of Piedade, with its colorful houses and quaint chapels', 'The stunning sunset viewpoint at Divar Beach, offering breathtaking views of the Mandovi River', 'The ancient Saptakoteshwar temple, surrounded by lush green forests and offering panoramic views of the island']","['Dal Baati Churma', 'Saurashtra Thali', 'Goan Fish Curry']","['Divar Island Kathiyawadi Local Dhaba', 'Divar Island Rajasthani Thali House']",[],Goa,15.52509,73.90782
03227259-472d-47c8-8744-492973c94423,watlab,Watlab,Jammu and Kashmir,Northern India,"Experience the serene beauty of Watlab, a hidden gem in the Kashmir valley surrounded by lush green forests and majestic mountains.","Watlab, a quaint village in the Baramulla district of Jammu and Kashmir, is a nature lover's paradise. The village is nestled in the midst of dense forests and offers breathtaking views of the surrounding mountains. With its rich flora and fauna, Watlab is an ideal destination for those looking to escape the chaos of city life and connect with nature. The village has a strong cultural heritage, with a mix of traditional Kashmiri and modern influences. Visitors can explore the local villages, interact with the friendly locals, and experience the warm hospitality of the Kashmiri people. The region is also known for its diverse wildlife, including several species of birds, making it a haven for birdwatchers and nature enthusiasts.","[""Explore the lush green forests of Watlab, home to a wide variety of flora and fauna"",""Visit the ancient Watlab shrine, a revered religious site for the local community"",""Take a trek to the nearby mountains, offering breathtaking views of the Kashmir valley"",""Experience the traditional Kashmiri cuisine and warm hospitality of the local villagers"",""Spot exotic bird species, including the Kashmir flycatcher and the Himalayan monal""]",Mountain,"['Nature', 'Nature Walks', 'Photography', 'Local Sightseeing', 'Bird Watching']",8100,₹8k–₹12k,3,Summer – Spring,"['Summer', 'Spring']",Moderate,Quiet,https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop,"['https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Go on a guided nature walk through the dense forests of Watlab, spotting local wildlife and flora', 'Take a birdwatching tour, guided by experienced local experts', 'Visit the local villages and interact with the friendly locals, learning about their culture and traditions', 'Enjoy a picnic in the scenic surroundings of Watlab, amidst the majestic mountains and lush green forests']","['The viewpoint at the ancient Watlab shrine, offering panoramic views of the surrounding mountains', 'The crystal-clear streams and waterfalls of Watlab, surrounded by lush green forests', 'The sunset point near the village, offering breathtaking views of the Kashmir valley']","['Siddu', 'Pahadi Madra', 'Local Thali']","['Watlab Pahadi Rasoi Local Kitchen', 'Watlab Hilltop Cafe & Bistro']",[],Manali,34.3,74.47
03f7ddf9-105e-4d05-bfa5-f902f5af521f,lakhpat,Lakhpat,Gujarat,Western India,"Experience the enchanting blend of history, culture, and nature in Lakhpat, a quaint village in Gujarat.","As visitors wander through the village, they can absorb the local culture by interacting with the friendly locals, trying traditional cuisine, and shopping for handmade crafts. The region's unique geography, with its arid landscape and marshy wetlands, supports a wide variety of flora and fauna, making it a fascinating spot for bird watching and nature walks. With its off-the-beaten-path charm, Lakhpat offers an unforgettable experience for travelers seeking an authentic and immersive experience in rural Gujarat.","[""The Lakhpat Fort, a 200-year-old fortification that showcases the region's rich history and architectural heritage"",""The Kori Creek, a vital habitat for migratory birds and a great spot for bird watching"",""The Gurudwara Sahib, a historic Sikh temple that attracts devotees and history enthusiasts"",""The ancient Jain Temple, a beautifully preserved example of traditional Kutchi architecture"",""The Little Rann of Kutch, a unique salt desert landscape that offers breathtaking views and sunset opportunities""]",Village,"['Culture', 'Nature Walks', 'Photography', 'Local Sightseeing', 'Bird Watching']",8100,₹8k–₹12k,3,Winter – Spring,"['Winter', 'Spring']",Easy,Quiet,https://upload.wikimedia.org/wikipedia/commons/3/36/Lakhpat_fort_gate_2014-01-27_13-02.jpg,"['https://upload.wikimedia.org/wikipedia/commons/3/36/Lakhpat_fort_gate_2014-01-27_13-02.jpg', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Take a guided tour of the Lakhpat Fort and learn about its history and significance', 'Go on a bird watching excursion to the Kori Creek and spot various migratory species', 'Explore the village on foot and interact with the friendly locals to learn about their culture and traditions', 'Visit the nearby Wild Ass Sanctuary and catch a glimpse of the endangered Indian wild ass']","['The sunset point near the Lakhpat Fort, offering stunning views of the surrounding landscape', 'The Kori Creek, where you can capture images of migratory birds in their natural habitat', 'The abandoned village of Pachchham, with its unique architecture and stunning desert landscape backdrop']","['Dal Baati Churma', 'Saurashtra Thali', 'Goan Fish Curry']","['Lakhpat Kathiyawadi Local Dhaba', 'Lakhpat Rajasthani Thali House']",[],Lonavala,23.82689,68.77516
04c9b140-5e54-43ae-a062-9309dc0c6594,ananthagiri-hills,Ananthagiri Hills,Telangana,Southern India,Discover the unspoiled beauty of nature at Telangana's picturesque Ananthagiri Hills.,"Located in the heart of Telangana, Ananthagiri Hills is a nature lover's paradise and a popular weekend getaway from Hyderabad. The hills are surrounded by lush forests and offer breathtaking views of the surrounding landscape. The region is home to a variety of flora and fauna, making it a birdwatcher's delight. Visitors can hike through the dense forests, explore the rolling hills, and enjoy the serene atmosphere. Ananthagiri Hills is also home to the ancient Anantha Padmanabha Swamy Temple, a stunning example of Dravidian architecture.","[""Explore the majestic Bhramaramba Mallikarjuna Swamy Temple, a 13th-century temple dedicated to Lord Shiva"",""Take a guided nature walk through the serene Bhagiratha Jathara forest, home to a variety of bird species"",""Visit the ancient Anantha Padmanabha Swamy Temple, a 17th-century temple dedicated to Lord Vishnu"",""Enjoy a thrilling zip-lining experience through the forests of Ananthagiri Hills"",""Experience the tranquility of a traditional Telugu village, where local farmers grow cardamom, tea, and coffee""]",Mountain,"['Nature', 'Nature Walks', 'Photography', 'Local Sightseeing', 'Bird Watching']",8100,₹8k–₹12k,3,Winter – Spring,"['Winter', 'Spring']",Easy,Quiet,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ananthagiri_Hills.JPG/3840px-Ananthagiri_Hills.JPG,"['https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ananthagiri_Hills.JPG/3840px-Ananthagiri_Hills.JPG', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Hike to the summit of Ananthagiri Hill for breathtaking views of the surrounding landscape', 'Take a guided nature walk through the dense forests of Bhagiratha Jathara', 'Visit the Ananthagiri Tea Factory and taste the famous Ananthagiri tea', 'Explore the local village markets, where you can buy handmade crafts and local produce']","['The iconic Anantha Padmanabha Swamy Temple, a stunning example of Dravidian architecture', 'The scenic Bhramaramba Mallikarjuna Swamy Temple, surrounded by lush greenery', 'The sunrise point on Ananthagiri Hill, offering breathtaking views of the surrounding landscape']","['Traditional Thali', 'Filter Coffee', 'Local Seafood']","['Ananthagiri Hills Malgudi Filter Coffee & Tiffin', 'Ananthagiri Hills Sree Local Mess']",[],Lonavala,17.32283,77.86186
05a1788c-87ff-46af-9d20-72f6d5136dfb,chitrakote-falls,Chitrakote Falls,Chhattisgarh,Central India,The breathtaking 'Niagara of India' on the Indravati River.,"Chitrakote Falls is the widest waterfall in India, located in the Bastar district of Chhattisgarh. Often called the 'Niagara of India' due to its horse-shoe shape, the waterfall is formed by the Indravati River plunging over a 95-foot cliff. During the monsoon, the waterfall stretches to a width of nearly 300 meters, creating a thunderous roar. The falls are also sacred, with a small temple dedicated to Lord Shiva situated nearby.","[""The spectacular 300-meter-wide horseshoe waterfall cascade"",""Mesmerizing rainbows forming in the mist during sunny days"",""The historic Shiva Temple located at the base of the falls"",""Vibrant Bastar tribal arts and handicrafts stalls nearby""]",Mountain,"['Nature', 'Photography', 'Adventure']",8100,₹8k–₹12k,3,July to October & November to February,"['Winter', 'Spring']",Easy,Quiet,https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG,"['https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Boating in the river pool at the base of the falls to feel the water spray', 'Photography from the cliff edge viewpoints and watchtowers', 'Exploring the nearby Kanger Valley National Park', 'Witnessing the illumination of the falls in the evening']","['Wide angle shot of the complete horseshoe falls from the viewpoint', 'Rainbow forming in the spray from a boat on the river', 'The waterfall illuminated with colorful lights at night']","['Local Traditional Thali', 'Spicy Curry']","['Chitrakote Falls Bundelkhandi Kitchen', 'Chitrakote Falls Malwa Food Court']",[],Lonavala,19.2008,81.7667
06022fa5-da75-4b42-87c3-7651b2fff8fb,meghamalai,Meghamalai,Tamil Nadu,Southern India,A tranquil haven amidst the rolling hills and verdant forests of Tamil Nadu's Western Ghats.,"Tucked away in the Annamalai Hills, Meghamalai is a lesser-known gem in the southern Indian state of Tamil Nadu. This serene mountain destination is known for its lush evergreen forests, rolling hills, and rolling grasslands that provide a soothing escape for nature enthusiasts and photography enthusiasts alike. Meghamalai's tranquil atmosphere and proximity to the Periyar Wildlife Sanctuary make it an ideal base for exploring the diverse flora and fauna of the Western Ghats. A haven for nature lovers, adventure seekers, and bird watchers, Meghamalai is an uncharted paradise waiting to be discovered.","[""The Karian Shola National Park, a lesser-known treasure within the Annamalai Hills, offering breathtaking views and opportunities to spot a variety of bird species and other wildlife."",""The picturesque Padi Village, known for its natural springs and scenic trekking routes that lead to majestic viewpoints amidst the rolling hills."",""The stunning waterfalls, cascading down from the Western Ghats, creating a picturesque landscape perfect for photography and relaxation."",""The Periyar Wildlife Sanctuary, a short drive from Meghamalai, providing a chance to explore the rich biodiversity of the region, including a variety of mammals and bird species."",""The ancient Pali Village, nestled amidst the rolling hills, offering a glimpse into the region's rich cultural heritage and traditional Wayanad architecture.""]",Mountain,"['Nature', 'Nature Walks', 'Photography', 'Local Sightseeing', 'Bird Watching']",8100,₹8k–₹12k,3,Winter – Spring,"['Winter', 'Spring']",Easy,Quiet,https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop,"['https://images.unsplash.com/photo-1506461883276-594a12b11db3?q=80&w=1000&auto=format&fit=crop', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Embark on a guided nature walk through the rolling hills and verdant forests, exploring the rich biodiversity of the region.', 'Try your hand at bird watching, spotting various species that inhabit the forests and grasslands of Meghamalai.', 'Take part in photography expeditions, capturing the stunning vistas, picturesque waterfalls, and scenic landscapes of the region.', ""Explore the ancient temples and villages, gaining insights into the region's rich cultural heritage and Wayanad architecture.""]","['The scenic viewpoint at Padi Village, offering breathtaking vistas of the rolling hills and verdant forests.', 'The picturesque Padi Falls, cascading down from the Western Ghats, creating a stunning landscape perfect for photography.', ""The ancient Pali Village, nestled amidst the rolling hills, offering a glimpse into the region's rich cultural heritage and traditional architecture.""]","['Traditional Thali', 'Filter Coffee', 'Local Seafood']","['Meghamalai Malgudi Filter Coffee & Tiffin', 'Meghamalai Sree Local Mess']",[],Lonavala,9.67607,77.38213
07a58e0e-8a13-45e4-ac0a-19abd2a0c84c,diglipur,Diglipur,Andaman and Nicobar Islands,Southern India,Twin islands joined by a sandbar and turtle nesting beaches.,"Diglipur is the largest town in North Andaman, offering an offbeat adventure far from touristy crowds. It is famous for Ross & Smith Islands (two islands joined by a natural white sandbar), Saddle Peak (the highest point in Andamans), and Kalipur Beach's turtle nesting grounds.","[""Walk the white sandbar connecting Ross & Smith Islands"",""Trek up Saddle Peak through dense tropical rainforests"",""Witness turtle nesting at Kalipur Beach"",""Explore the Alfred Caves' limestone passages""]",Beach,"['Adventure', 'Beach', 'Nature', 'Trek']",13000,₹12k–₹15k,4,November – April,"['Winter', 'Spring']",Moderate,Untouched,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80,"['https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80', 'https://images.unsplash.com/photo-1544735716-392fe2489ffa?auto=format&fit=crop&w=800&q=80']","['Walk the sandbar of Ross & Smith Islands', 'Trek up Saddle Peak National Park', 'Watch sea turtles nest/hatch at Kalipur', 'Snorkel in the crystal-clear waters of Ramnagar Reef']","['Arial view of the Ross & Smith sandbar', 'Sunset at Kalipur beach with driftwood', 'Rainforest canopy from Saddle Peak summit']","['Fresh crab curry', 'Tandoori fish', 'Bengali and South Indian local meals']","['Kalipur resort restaurant', 'Local market fish stalls', 'Diglipur Bazaar eateries']","['Mayabunder (70 km)', 'Rangat (140 km)', 'Saddle Peak (15 km)']",Havelock Island,13.2678,93.0033
08377562-a019-4500-865b-b5ce67f5bc93,chandipur-beach,Chandipur Beach,Odisha,Eastern India,"Discover Chandipur, Odisha's unique 'hide-and-seek' beach where the Bay of Bengal dramatically recedes, revealing an expansive, walkable seabed.","Chandipur Beach, located in the Balasore district of Odisha, offers a singularly captivating natural phenomenon: the sea recedes by up to five kilometers during low tide, revealing a vast stretch of ocean floor. This unique geological characteristic transforms the beach experience, allowing visitors to literally walk into the 'sea' for miles, exploring the exposed sandy expanse. Unlike typical beaches, Chandipur is renowned for its tranquil atmosphere and relatively untouched beauty. It's not a bustling tourist hub but rather a peaceful retreat where the rhythm of the tides dictates the day's activities, offering a profound connection with nature and a glimpse into a distinctive coastal ecosystem.","[""Witness the extraordinary receding sea phenomenon, unique in India, allowing you to walk far into the seabed."",""Observe diverse marine life, including red crabs, horseshoe crabs, and other small crustaceans, exposed during low tide."",""Experience a serene and uncrowded beach environment, perfect for peaceful strolls and contemplation."",""Enjoy the expansive, hard sand beach ideal for long walks and quiet reflection."",""Discover the local fishing village charm and witness traditional fishing practices.""]",Beach,"['Beach', 'Swimming', 'Sunbathing', 'Beach Walks', 'Boat Ride']",8100,₹8k–₹12k,3,Winter – Spring,"['Winter', 'Spring']",Easy,Quiet,https://upload.wikimedia.org/wikipedia/commons/4/43/Chandipur.jpg,"['https://upload.wikimedia.org/wikipedia/commons/4/43/Chandipur.jpg', 'https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop&w=1800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1800&q=80']","['Walk several kilometers into the exposed seabed during low tide to explore the unique landscape.', 'Go crab spotting and observe other fascinating marine creatures that emerge from the wet sand.', 'Enjoy a refreshing swim in the gentle waves during high tide when the sea returns.', 'Take a local boat ride into the deeper waters during high tide to experience the sea from a different perspective.']","['The vast, exposed seabed stretching towards the horizon during low tide, offering dramatic perspective shots.', 'Close-up shots of vibrant red crabs dotting the wet sand, a signature sight of Chandipur.', 'Sunset or sunrise views over the Bay of Bengal, casting golden hues across the unique tidal landscape.']","['Local Traditional Thali', 'Spicy Curry']","['Chandipur Beach Bengali Spice Junction', 'Chandipur Beach Maa Durga Local Hotel']",[],Goa,21.47,87.02
08aedca6-848d-47f3-b0b5-f81da0bb07fa,nongriat,Nongriat,Meghalaya,Northeastern India,Double-Decker Living Root Bridges and turquoise pools.,"Nongriat is a secluded valley village famous for its ancient, living root bridges, notably the Umshiang Double-Decker Living Root Bridge. Reached by trekking down 3,000 stone steps through lush hills, it features suspension bridges, cascading turquoise rivers, and pristine waterfalls.","[""Trek to the iconic Double-Decker Living Root Bridge"",""Swim in the crystal-clear turquoise pools of Rainbow Falls"",""Walk across long wire suspension bridges"",""Stay in a quiet Khasi jungle village""]",Trek,"['Adventure', 'Nature', 'Trek', 'Waterfalls']",7000,Under ₹8k,3,September – May,"['Autumn', 'Winter', 'Spring', 'Monsoon']",Challenging,Quiet,https://images.unsplash.com/photo-1501785888041-af3ef285b470?auto=format&fit=crop&w=800&q=80,"['https://images.unsplash.com/photo-1501785888041-af3ef285b470?auto=format&fit=crop&w=800&q=80', 'https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80']","['Trek down the 3,000 steps from Tyrna', 'Walk the living root bridges of Nongriat', 'Swim in the natural pools of Rainbow Falls', 'Savor organic local honey and wild fruits']","['The Double-Decker Living Root Bridge', 'Turquoise pools at Rainbow Falls', 'Jungle wire bridges spanning rivers']","['Simple local Khasi dal and rice', 'Wild forest banana', 'Khasi ginger tea']","['Jungle view tea stalls', 'Nongriat Community Kitchen', 'Tyrna village dhabas']","['Cherrapunji (Sohra) (15 km)', 'Mawsynram (60 km)', 'Tyrna Village (3 km)']",Munnar Hills,25.2515,91.6811
